Solution #, n, T, alpha, beta, l_0
0, 1.200000, 392.861717, -0.040771, 0.959229, -0.105957
1, 1.200000, 392.861717, -0.040527, 0.959473, -0.105713
2, 1.200000, 392.861717, -0.040283, 0.959717, -0.105469
3, 1.200000, 392.861717, 0.456299, 0.543701, -0.001465
4, 1.200000, 392.861717, 0.457520, 0.542480, -0.001221
5, 1.200000, 392.861717, 0.457764, 0.542236, -0.001221
6, 1.200000, 392.861717, 0.458008, 0.541992, -0.001221
7, 1.200000, 392.861717, 0.458252, 0.541748, -0.001221
8, 1.200000, 392.861717, 0.458496, 0.541504, -0.001221
9, 1.200000, 392.861717, 0.458740, 0.541260, -0.001221
10, 1.200000, 392.861717, 0.458984, 0.541016, -0.001221
11, 1.200000, 392.861717, 0.459229, 0.540771, -0.001221
12, 1.200000, 392.861717, 0.459473, 0.540527, -0.001221
13, 1.200000, 392.861717, 0.459717, 0.540283, -0.001221
14, 1.200000, 392.861717, 0.458740, 0.541260, -0.000976
15, 1.200000, 392.861717, 0.458984, 0.541016, -0.000976
16, 1.200000, 392.861717, 0.459229, 0.540771, -0.000976
17, 1.200000, 392.861717, 0.459473, 0.540527, -0.000976
18, 1.200000, 392.861717, 0.459717, 0.540283, -0.000976
19, 1.200000, 392.861717, 0.459961, 0.540039, -0.000976
20, 1.200000, 392.861717, 0.460205, 0.539795, -0.000976
21, 1.200000, 392.861717, 0.460449, 0.539551, -0.000976
22, 1.200000, 392.861717, 0.460693, 0.539307, -0.000976
23, 1.200000, 392.861717, 0.460938, 0.539062, -0.000976
24, 1.200000, 392.861717, 0.460693, 0.539307, -0.000732
25, 1.200000, 392.861717, 0.460938, 0.539062, -0.000732
26, 1.200000, 392.861717, 0.461182, 0.538818, -0.000732
27, 1.200000, 392.861717, 0.461426, 0.538574, -0.000732
28, 1.200000, 392.861717, 0.461670, 0.538330, -0.000732
29, 1.200000, 392.861717, 0.461914, 0.538086, -0.000732
30, 1.200000, 392.861717, 0.462158, 0.537842, -0.000732
31, 1.200000, 392.861717, 0.462402, 0.537598, -0.000732
32, 1.200000, 392.861717, 0.953125, -0.046875, 0.114258
